economy_code,economy,year,value,source
01_AUS,Australia,1990,24.4154383916175,WDI
01_AUS,Australia,1991,20.8078722173929,WDI
01_AUS,Australia,1992,18.3164839064147,WDI
01_AUS,Australia,1993,20.3034156711219,WDI
01_AUS,Australia,1994,21.8463364095375,WDI
01_AUS,Australia,1995,20.6053570826636,WDI
01_AUS,Australia,1996,20.8678175180598,WDI
01_AUS,Australia,1997,21.7802042626413,WDI
01_AUS,Australia,1998,21.5910821015266,WDI
01_AUS,Australia,1999,20.5938348860108,WDI
01_AUS,Australia,2000,21.1585828443316,WDI
01_AUS,Australia,2001,20.707708507732,WDI
01_AUS,Australia,2002,21.7443643675091,WDI
01_AUS,Australia,2003,21.0479265435955,WDI
01_AUS,Australia,2004,21.4867186852419,WDI
01_AUS,Australia,2005,20.9463328004775,WDI
01_AUS,Australia,2006,21.6197924820935,WDI
01_AUS,Australia,2007,21.3208215222712,WDI
01_AUS,Australia,2008,21.845024795339,WDI
01_AUS,Australia,2009,23.9195578923009,WDI
01_AUS,Australia,2010,21.7091351421171,WDI
01_AUS,Australia,2011,23.1621677041742,WDI
01_AUS,Australia,2012,24.200411352821,WDI
01_AUS,Australia,2013,23.7827985137743,WDI
01_AUS,Australia,2014,23.4563274824008,WDI
01_AUS,Australia,2015,22.521231196962,WDI
01_AUS,Australia,2016,20.529640955705,WDI
01_AUS,Australia,2017,21.5782074482669,WDI
01_AUS,Australia,2018,21.4012664353392,WDI
01_AUS,Australia,2019,21.9808894845608,WDI
01_AUS,Australia,2020,23.2325990455773,WDI
01_AUS,Australia,2021,25.1958520075371,WDI
01_AUS,Australia,2022,24.9259369836481,WDI
01_AUS,Australia,2023,23.7753856393832,WDI
01_AUS,Australia,2024,22.9191602790214,WDI
01_AUS,Australia,2025,22.1555127348176,WDI
02_BD,Brunei Darussalam,2001,51.7876966296619,WDI
02_BD,Brunei Darussalam,2002,54.5162238558289,WDI
02_BD,Brunei Darussalam,2003,56.9478569565325,WDI
02_BD,Brunei Darussalam,2004,56.7706482500164,WDI
02_BD,Brunei Darussalam,2005,63.9414562144402,WDI
02_BD,Brunei Darussalam,2006,66.2085968576008,WDI
02_BD,Brunei Darussalam,2007,61.7392099345848,WDI
02_BD,Brunei Darussalam,2008,69.492591540605,WDI
02_BD,Brunei Darussalam,2009,58.2879888470828,WDI
02_BD,Brunei Darussalam,2010,60.151545349916,WDI
02_BD,Brunei Darussalam,2011,63.7858068696577,WDI
02_BD,Brunei Darussalam,2012,62.9040809586224,WDI
02_BD,Brunei Darussalam,2013,60.279412864525,WDI
02_BD,Brunei Darussalam,2014,59.8076367677065,WDI
02_BD,Brunei Darussalam,2015,57.1182687749519,WDI
02_BD,Brunei Darussalam,2016,56.4115794432201,WDI
02_BD,Brunei Darussalam,2017,55.3364205017207,WDI
02_BD,Brunei Darussalam,2018,53.2133009127659,WDI
02_BD,Brunei Darussalam,2019,53.5317208322741,WDI
02_BD,Brunei Darussalam,2020,50.8859947205967,WDI
02_BD,Brunei Darussalam,2021,49.7343409455499,WDI
02_BD,Brunei Darussalam,2022,50.3806352832592,WDI
02_BD,Brunei Darussalam,2023,45.871344690754,WDI
02_BD,Brunei Darussalam,2024,47.6532634913652,WDI
02_BD,Brunei Darussalam,2025,45.3344398925132,WDI
03_CDA,Canada,1990,17.7598907649728,WDI
03_CDA,Canada,1991,15.1422078826112,WDI
03_CDA,Canada,1992,14.0569176510518,WDI
03_CDA,Canada,1993,14.8838279479694,WDI
03_CDA,Canada,1994,16.9829901791132,WDI
03_CDA,Canada,1995,18.9495948122556,WDI
03_CDA,Canada,1996,19.4615675805776,WDI
03_CDA,Canada,1997,20.1967117448251,WDI
03_CDA,Canada,1998,19.7742353004359,WDI
03_CDA,Canada,1999,21.0958239916016,WDI
03_CDA,Canada,2000,23.7746280731218,WDI
03_CDA,Canada,2001,22.635489053482,WDI
03_CDA,Canada,2002,21.7247007986965,WDI
03_CDA,Canada,2003,21.9437421731044,WDI
03_CDA,Canada,2004,23.6604863582273,WDI
03_CDA,Canada,2005,24.4515477349026,WDI
03_CDA,Canada,2006,24.6167836170461,WDI
03_CDA,Canada,2007,24.4043195574877,WDI
03_CDA,Canada,2008,24.2473507737597,WDI
03_CDA,Canada,2009,18.5199781161218,WDI
03_CDA,Canada,2010,19.3124605468573,WDI
03_CDA,Canada,2011,20.8570036017058,WDI
03_CDA,Canada,2012,20.9180313649159,WDI
03_CDA,Canada,2013,21.597457353518,WDI
03_CDA,Canada,2014,22.1484716896255,WDI
03_CDA,Canada,2015,19.5693439682533,WDI
03_CDA,Canada,2016,19.1464356668973,WDI
03_CDA,Canada,2017,19.8452346358057,WDI
03_CDA,Canada,2018,19.5829137118093,WDI
03_CDA,Canada,2019,20.2615901974042,WDI
03_CDA,Canada,2020,19.4618627087878,WDI
03_CDA,Canada,2021,23.3033943883775,WDI
03_CDA,Canada,2022,23.9113346243855,WDI
03_CDA,Canada,2023,21.915171696638,WDI
03_CDA,Canada,2024,21.3282777316351,WDI
03_CDA,Canada,2025,22.2253838949222,WDI
04_CHL,Chile,1990,24.3290776390403,WDI
04_CHL,Chile,1991,23.4480570467047,WDI
04_CHL,Chile,1992,22.8071945542299,WDI
04_CHL,Chile,1993,22.2682123147593,WDI
04_CHL,Chile,1994,22.1204981483329,WDI
04_CHL,Chile,1995,24.6205748249686,WDI
04_CHL,Chile,1996,25.3183250176561,WDI
04_CHL,Chile,1997,25.0763604901302,WDI
04_CHL,Chile,1998,23.394979013313,WDI
04_CHL,Chile,1999,22.4833163552083,WDI
04_CHL,Chile,2000,22.5017238796311,WDI
04_CHL,Chile,2001,22.9540058130082,WDI
04_CHL,Chile,2002,23.1216893179353,WDI
04_CHL,Chile,2003,23.5378279968254,WDI
04_CHL,Chile,2004,24.4277327681936,WDI
04_CHL,Chile,2005,25.1302098186106,WDI
04_CHL,Chile,2006,27.6498812574935,WDI
04_CHL,Chile,2007,27.4342310839715,WDI
04_CHL,Chile,2008,24.1492079294954,WDI
04_CHL,Chile,2009,24.2769384382053,WDI
04_CHL,Chile,2010,25.6276932578206,WDI
04_CHL,Chile,2011,21.6861213065377,WDI
04_CHL,Chile,2012,23.4686626230969,WDI
04_CHL,Chile,2013,22.6663184541001,WDI
04_CHL,Chile,2014,21.6794787310798,WDI
04_CHL,Chile,2015,22.7338612948598,WDI
04_CHL,Chile,2016,21.0878070381514,WDI
04_CHL,Chile,2017,19.8421253926699,WDI
04_CHL,Chile,2018,19.603708780321,WDI
04_CHL,Chile,2019,19.6831488302629,WDI
04_CHL,Chile,2020,19.0916016250211,WDI
04_CHL,Chile,2021,16.6899038524225,WDI
04_CHL,Chile,2022,16.8318722707056,WDI
04_CHL,Chile,2023,20.1458143576453,WDI
04_CHL,Chile,2024,21.9478492548433,WDI
04_CHL,Chile,2025,22.8146737618207,WDI
05_PRC,China,1990,36.6228275584888,WDI
05_PRC,China,1991,38.4279725792786,WDI
05_PRC,China,1992,40.5262148478143,WDI
05_PRC,China,1993,41.5944567821618,WDI
05_PRC,China,1994,41.5641800595348,WDI
05_PRC,China,1995,39.3812636762869,WDI
05_PRC,China,1996,38.5813284832836,WDI
05_PRC,China,1997,39.5469344798754,WDI
05_PRC,China,1998,38.1766453804451,WDI
05_PRC,China,1999,36.3928397912428,WDI
05_PRC,China,2000,35.5826474435708,WDI
05_PRC,China,2001,37.0775585847377,WDI
05_PRC,China,2002,38.6609215616113,WDI
05_PRC,China,2003,42.1609224814857,WDI
05_PRC,China,2004,45.3715794530289,WDI
05_PRC,China,2005,45.5417056569754,WDI
05_PRC,China,2006,47.7875413024031,WDI
05_PRC,China,2007,49.7906549255041,WDI
05_PRC,China,2008,51.2655667529843,WDI
05_PRC,China,2009,49.8735875934712,WDI
05_PRC,China,2010,50.7951259924622,WDI
05_PRC,China,2011,48.6410622284448,WDI
05_PRC,China,2012,48.1956233738576,WDI
05_PRC,China,2013,47.0363460228068,WDI
05_PRC,China,2014,47.2736238197056,WDI
05_PRC,China,2015,45.1016053776732,WDI
05_PRC,China,2016,43.8678663976574,WDI
05_PRC,China,2017,44.3202552812278,WDI
05_PRC,China,2018,43.7715764233009,WDI
05_PRC,China,2019,43.2925997301417,WDI
05_PRC,China,2020,43.4998633494291,WDI
05_PRC,China,2021,44.679938707538,WDI
05_PRC,China,2022,44.8335710565362,WDI
05_PRC,China,2023,42.5717088559186,WDI
05_PRC,China,2024,42.7150109198495,WDI
05_PRC,China,2025,42.5150109198495,WDI seeded and projected to 2025
06_HKC,"Hong Kong, China",1998,30.7030030751778,WDI
