economy_code,economy,year,population_1jan,Real GDP PPP 2021 USD,output_to_kstock,delta,Gross national savings,9th Outlook
01_AUS,Australia,1990,17004.135,618913.6434465031,0.1928141226287814,0.0266587734222412,24.4154383916175,612064.4044803015
01_AUS,Australia,1991,17248.461,616533.1075007679,0.1901906315133383,0.0266145970672369,20.8078722173929,605953.5029391164
01_AUS,Australia,1992,17457.924,619203.1019303941,0.1938218450555012,0.0265624206513166,18.3164839064147,621482.0104623733
01_AUS,Australia,1993,17640.653,644255.029953675,0.1970410388285669,0.0265669394284487,20.3034156711219,645944.8012344415
01_AUS,Australia,1994,17805.169,669888.9347595761,0.199301552543797,0.026645528152585,21.8463364095375,677225.150854998
01_AUS,Australia,1995,17989.698,695948.765791245,0.2018000490070428,0.0268062464892864,20.6053570826636,697272.7522181849
01_AUS,Australia,1996,18200.991,722851.8817928929,0.2042135844455333,0.0270403921604157,20.8678175180598,725363.1620864028
01_AUS,Australia,1997,18409.624,751172.915991526,0.2075663873694732,0.0273331478238106,21.7802042626413,758766.1905592511
01_AUS,Australia,1998,18600.201,786303.874098678,0.2117306896690788,0.0276049114763737,21.5910821015266,794062.3399951287
01_AUS,Australia,1999,18803.233,825840.965575829,0.2133864193893092,0.0278514698147774,20.5938348860108,828562.9316434457
01_AUS,Australia,2000,19016.729,858181.3725486491,0.2129674497558726,0.0280478689819574,21.1585828443316,854246.527013509
01_AUS,Australia,2001,19248.213,875614.973582609,0.2159257376311597,0.0282667931169271,20.707708507732,877003.9495278484
01_AUS,Australia,2002,19482.653,910200.060722256,0.2160925800602322,0.028569508343935,21.7443643675091,913565.4120640458
01_AUS,Australia,2003,19708.057,938336.894067504,0.218240263153899,0.0289010461419821,21.0479265435955,941136.8554956764
01_AUS,Australia,2004,19930.852,977924.778471004,0.2181738161002666,0.0292827058583498,21.4867186852419,979817.9789352212
01_AUS,Australia,2005,20162.502,1008783.01113519,0.2169014174951741,0.0297582074999809,20.9463328004775,1009201.95529288
01_AUS,Australia,2006,20426.478,1036735.64362706,0.2178959547187879,0.0302797425538301,21.6197924820935,1035459.5331785276
01_AUS,Australia,2007,20754.641,1076022.44225027,0.2180910981275317,0.0308394953608513,21.3208215222712,1080657.5429587348
01_AUS,Australia,2008,21154.456,1115017.33453773,0.21525815487037,0.0313971936702728,21.845024795339,1108370.3291883557
01_AUS,Australia,2009,21586.721,1136814.23153392,0.2135073063246903,0.0318343117833138,23.9195578923009,1129551.3566538126
01_AUS,Australia,2010,21979.301,1161938.37118743,0.2122951868103663,0.0321767814457417,21.7091351421171,1157056.9523898282
01_AUS,Australia,2011,22303.86,1189763.71538194,0.2132501578994412,0.0325480066239834,23.1621677041742,1189777.4200095204
01_AUS,Australia,2012,22655.69,1236788.78573622,0.2116590109288475,0.0329092144966126,24.200411352821,1234724.9171776606
01_AUS,Australia,2013,23049.598,1269618.76308348,0.2108186460865054,0.0330710075795651,23.7827985137743,1261991.0735724487
01_AUS,Australia,2014,23422.943,1302643.95661756,0.2100002293846212,0.0330260097980499,23.4563274824008,1294180.549327223
01_AUS,Australia,2015,23768.258,1330837.70251883,0.2110645279602379,0.0328843593597412,22.521231196962,1324147.3821484016
01_AUS,Australia,2016,24127.746,1367510.80730548,0.2114074805914799,0.0327083803713322,20.529640955705,1359910.165479053
01_AUS,Australia,2017,24532.18,1398872.07352942,0.2126715124654052,0.0326015762984753,21.5782074482669,1392215.150661058
01_AUS,Australia,2018,24929.897,1439078.04053065,0.2128719710575736,0.0325943343341351,21.4012664353392,1430925.62077636
01_AUS,Australia,2019,25309.514,1470651.6579045,0.2087360560921503,0.0326513238251209,21.9808894845608,1459277.0577176658
01_AUS,Australia,2020,25655.914,1468687.86874001,0.2090502630147709,0.0327924713492394,23.2325990455773,1428094.229582106
01_AUS,Australia,2021,25831.668,1498163.67705936,0.2131987811527095,0.0330823920667172,25.1958520075371,1498163.67705936
01_AUS,Australia,2022,26081.167,1561881.26129328,0.2157293797156944,0.0334764197468758,24.9259369836481,1554344.6855718803
01_AUS,Australia,2023,26320.802,1617856.2900553702,0.2138440361128503,0.0339214503765106,23.7753856393832,1583704.3338080042
01_AUS,Australia,2024,26581.446,1640076.05346249,,,22.9191602790214,1612242.5063034345
01_AUS,Australia,2025,26844.964,1662223.60523938,,,22.1555127348176,1644670.982227819
01_AUS,Australia,2026,27103.088,,,,,1680036.3617371344
01_AUS,Australia,2027,27351.104,,,,,1718355.8094372316
01_AUS,Australia,2028,27597.438,,,,,1756544.5515957214
01_AUS,Australia,2029,27840.238,,,,,1794194.723568515
01_AUS,Australia,2030,28072.905,,,,,1833546.239924552
01_AUS,Australia,2031,28304.174,,,,,1873003.8706054285
01_AUS,Australia,2032,28531.414,,,,,1914969.48028641
01_AUS,Australia,2033,28752.429,,,,,1956478.523708701
01_AUS,Australia,2034,28970.774,,,,,1998984.5015807408
01_AUS,Australia,2035,29187.209,,,,,2042879.5577741056
01_AUS,Australia,2036,29405.127,,,,,2087982.4761631256
01_AUS,Australia,2037,29622.099,,,,,2134256.688444772
01_AUS,Australia,2038,29831.175,,,,,2181653.183927086
01_AUS,Australia,2039,30044.909,,,,,2230327.459657438
01_AUS,Australia,2040,30251.945,,,,,2280479.3826566534
